Station ID,Station Name,Brand,Street Address,City / Town,State / UT,Postcode,Phone / Contact,Latitude,Longitude,Amenities & Services,Website URL,Extracted At
12770503,DHANSURA,Shell,MOJE TA. DHANSURA,ARAVALLI,Gujarat,383310,+91 98980 90100,23.346915,73.201969,"air_and_water, bakery_shop, credit_card, credit_card_visa, fuel_card, full_service, pay_at_pump, quick_lubes, service_bay, shop, standard_toilet, manned",https://find.shell.com/in/fuel/12770503-dhansura/en_IN,2026-09-03 11:53:47
12841246,ANAPUR CHHOTA,Shell,SUB DISTRICT DHANERA,BANASKANTHA,Gujarat,385310,+91 99094 97112,24.585698,72.201924,"air_and_water, bakery_shop, credit_card, credit_card_visa, fuel_card, full_service, mobile_payment, pay_at_pump, pay_tm, quick_lubes, service_bay, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12841246-anapur-chhota/en_IN,2026-09-03 11:53:47
12820852,PALANPUR,Shell,"SH 41, NR. D - MART, AT PALANPUR",BANASKANTHA,Gujarat,385001,+91 99041 85555,24.154124,72.411521,"air_and_water, credit_card, credit_card_visa, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, other_third_party_rental, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12820852-palanpur/en_IN,2026-09-03 11:53:47
12616526,BHARUCH EXIT-NH 8,Shell,"NH 48, TALUKA & DISTRICT; BHARUCH",BHARUCH,Gujarat,392001,+91 91110 99924,21.772871,73.02478,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12616526-bharuch-exit-nh-8/en_IN,2026-09-03 11:53:47
12588877,ZADESHWAR ROAD,Shell,BHARUCH,BHARUCH,Gujarat,392001,+91 91110 99924,21.719732,73.031473,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12588877-zadeshwar-road/en_IN,2026-09-03 11:53:47
12614269,BHAVNAGAR EXIT,Shell,"FULSAR, BHAVNAGAR RAJKOT ROAD",BHAVNAGAR,Gujarat,364004,+91 85111 07087,21.749389,72.087278,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, service_bay, shell_card, shop, snack_food, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12614269-bhavnagar-exit/en_IN,2026-09-03 11:53:47
12734885,DIHOR,Shell,SUB-DISTRICT TALAJA,BHAVNAGAR,Gujarat,364150,+91 99785 07570,21.478472,72.044646,"air_and_water, bakery_shop, full_service, quick_lubes, shop, standard_toilet, manned",https://find.shell.com/in/fuel/12734885-dihor/en_IN,2026-09-03 11:53:47
12711298,MOKHADAJI CIRCLE,Shell,"NEAR MOKHADAJI CIRCLE , GOGHA ROAD",BHAVNAGAR,Gujarat,364001,+91 91041 36363,21.757854,72.158536,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12711298-mokhadaji-circle/en_IN,2026-09-03 11:53:47
12636348,"SHIHOR,BHAVNAGAR RAJKOT ROAD",Shell,DISTRICT BHAVNAGAR,BHAVNAGAR,Gujarat,364240,+91 85111 07087,21.729162,71.969077,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, go_plus, loyalty_cards, loyalty_program, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12636348-shihor-bhavnagar-rajkot-road/en_IN,2026-09-03 11:53:47
12614770,VICTORIA GARDEN ROAD,Shell,VICTORIA PARK ROAD,BHAVNAGAR,Gujarat,364002,+91 76004 83232,21.748448,72.137891,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, service_bay, shell_card, shop, snack_food, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12614770-victoria-garden-road/en_IN,2026-09-03 11:53:47
